property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
16869557,6831,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_7_brand_new_2nd_floor_beautiful_luxury__flat_for_sale_at_main_university_road-16869557-6831-1.html,Flat,7800000,Gulistan-e-Jauhar,Karachi,Sindh,24.93591,67.152597,2,4.2 Marla,For Sale,2,06-29-2019,Ayan Enterprises,Haris Rehman Khan,Marla,4.2,0-5 Marla
17246940,3967,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_block_h2_5_marla_brand_new_house_is_available_for_sale-17246940-3967-1.html,House,16500000,Johar Town,Lahore,Punjab,31.469924,74.267278,5,5 Marla,For Sale,5,07-12-2019,Bilal Estate & Builders,Zaheer Jutt,Marla,5.0,0-5 Marla
16913914,93,https://www.zameen.com/Property/lahore_johar_town_double_storey_house_is_available_for_sale-16913914-93-1.html,House,12000000,Johar Town,Lahore,Punjab,31.462347,74.293642,0,5 Marla,For Sale,3,06-25-2019,Saqib Estate & Builders,Zubair,Marla,5.0,0-5 Marla
14504071,8305,https://www.zameen.com/Property/bahria_greens_overseas_enclave_bahria_greens_overseas_enclave_sector_6_house_for_sale_in_bahria_town_overseas_6-14504071-8305-1.html,House,25500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.508588,73.07178499999999,7,14 Marla,For Sale,6,05-05-2019,Midland Estate & Builders,Syed Sadaat Ahmed,Marla,14.0,10-15 Marla
17036907,9245,https://www.zameen.com/Property/paragon_city_paragon_city_imperial_block_10_marla_house_for_sale_in_imperial_block_20_main_block-17036907-9245-1.html,House,24000000,Paragon City,Lahore,Punjab,31.528941,74.454131,5,10 Marla,For Sale,5,07-01-2019,Barkaat Associates,Lt Col R Barkaat,Marla,10.0,5-10 Marla
15518993,4937,https://www.zameen.com/Property/faisalabad_farooqabad_3_marla_residential_house_for_sale-15518993-4937-1.html,House,3500000,Farooqabad,Faisalabad,Punjab,31.43086,73.118033,0,3 Marla,For Sale,0,04-18-2019,,,Marla,3.0,0-5 Marla
14533824,7216,https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_h_luxury_apartment_is_available_for_sale_1100_sq_ft_habib_homes_block_h-14533824-7216-1.html,Flat,5200000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,2,4.9 Marla,For Sale,2,04-09-2019,Usman Associates,Maqsood Ahmed Abdul Shakoor,Marla,4.9,0-5 Marla
17288491,3968,https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_block_h3_the_best_apartment_for_living_purpose-17288491-3968-1.html,Flat,1600000,Johar Town,Lahore,Punjab,31.471351,74.261484,1,1.1 Marla,For Sale,0,07-17-2019,Arqam Estate,"Mian Naeem, Javaid Faridi",Marla,1.1,0-5 Marla
17307089,681,https://www.zameen.com/Property/karachi_liaquatabad_portion_available_for_sale_in_liaquatabad-17307089-681-1.html,Upper Portion,2100000,Liaquatabad,Karachi,Sindh,24.903253,67.052279,1,1.8 Marla,For Sale,1,07-17-2019,Invest Property Point,Tasneem Sheikh,Marla,1.8,0-5 Marla
15254630,3370,https://www.zameen.com/Property/g_7_g_7_2_double_storey_house_for_sale-15254630-3370-1.html,House,60000000,G-7,Islamabad,Islamabad Capital,33.706063,73.06264399999999,5,1.1 Kanal,For Sale,5,04-05-2019,Property King's,Sardar M. Asim Abbasi,Kanal,1.1,1-5 Kanal
17308700,6686,https://www.zameen.com/Property/federal_b_area_federal_b_area_block_2_ground_1st_floor_house_is_available_for_sale-17308700-6686-1.html,House,19000000,Federal B Area,Karachi,Sindh,24.911388,67.06036800000001,0,4.8 Marla,For Sale,0,07-16-2019,Masha Allah Real Estate Construction Contractor,Muhammad Ahmed,Marla,4.8,0-5 Marla
17279058,766,https://www.zameen.com/Property/lahore_jubilee_town_3_marla_corner_brand_new_constructed_house_for_sale_in_block_c-17279058-766-1.html,House,7800000,Jubilee Town,Lahore,Punjab,31.409619,74.166126,3,3 Marla,For Sale,3,07-14-2019,AL Qura Estate & Builders,ABDULLAH CHEEMA,Marla,3.0,0-5 Marla
